Domain,Count,Full Name,Type,bias
www.whitehouse.gov,550216,The White House,politician,Left
joe.link,429469,Joe Biden,politician,Left
hann.it,427869,Sean Hannity,politician,Right
joebiden.com,372618,Joe Biden,politician,Left
saraacarter.com,363043,Sara A. Carter,politician,Right
Vote.DonaldJTrump.com,292991,Donald J. Trump,politician,Right
45.wh.gov,277936,The White House,politician,Right
JoeBiden.com,256621,Joe Biden,politician,Left
nestorgomezstoryteller.com,211578,Nestor Gomez,politician,Center
davidharrisjr.com,205195,David James Harris Jr.,politician,Right
www.donaldjtrump.com,159388,Donald J. Trump,politician,Right
djhjmedia.com,136711,David James Harris Jr.,politician,Right
hannity.com,130694,Sean Hannity,poitician,Right
berniesanders.com,116567,Bernie Sanders,politician,Left
gjarr.it,104855,Giuseppe Conte,politician,Center
GAsenate.com,73963,Georgia State Senate,politician,Center
vote.donaldjtrump.com,70507,Donald J. Trump,politician,Right
buildbackbetter.gov,67335,The White House,politician,Left
secure.joebiden.com,61999,Joe Biden,politician,Left
www.justice.gov,51293,U.S. Department of Justice,politician,Center
act.betoorourke.com,48373,Beto O'Rourke,politician,Left
GASenate.com,48033,Georgia State Senate,politician,Center
ewar.ren,46808,Elizabeth Warren,politician,Left
www.speaker.gov,45200,Mike Johnson,politician,Center
live.berniesanders.com,38259,Bernie Sanders,politician,Left
lincolnproject.us,36305,The Lincoln Project,politician,Right
events.donaldjtrump.com,35680,Donald J. Trump,politician,Right
go.joebiden.com,30604,Joe Biden,politician,Left
djt45.co,28984,Donald J. Trump,politician,Right
mikebloom.bg,28111,Mike Bloomberg,politician,Right
DJTVote.co,27465,Donald J. Trump,politician,Right
www.hsgac.senate.gov,27027,U.S. Senate Committee,politician,Center
gop.com,26537,Republican National Committee,politician,Right
buildbackbetter.com,26473,Build Back Better,politician,Left
ArmyForTrump.com,25020,Donald J. Trump,politician,Right
