2024-08-31 02:09:29,412 - INFO - retweet_num:6	quoted_num:1	not_num:3	other_num:0	retweet_have_soure_num:2	quoted_have_num:0



2024-08-31 02:13:04,177 - INFO - retweet_num:8412648	quoted_num:493835	not_num:1209171	other_num:0	retweet_have_soure_num:114239	quoted_have_num:24256
2024-08-31 02:15:32,749 - INFO - retweet_num:8809471	quoted_num:521754	not_num:1267729	other_num:0	retweet_have_soure_num:101923	quoted_have_num:16114
2024-08-31 02:17:57,590 - INFO - retweet_num:8469846	quoted_num:560785	not_num:1293350	other_num:0	retweet_have_soure_num:89956	quoted_have_num:17710
2024-08-31 02:20:56,959 - INFO - retweet_num:10529206	quoted_num:728328	not_num:1617447	other_num:0	retweet_have_soure_num:70387	quoted_have_num:18737
2024-08-31 02:25:52,697 - INFO - retweet_num:17158236	quoted_num:1211623	not_num:3012747	other_num:0	retweet_have_soure_num:89155	quoted_have_num:34945
2024-08-31 02:28:22,275 - INFO - retweet_num:8935847	quoted_num:580077	not_num:1360336	other_num:0	retweet_have_soure_num:52716	quoted_have_num:14699
2024-08-31 02:31:59,610 - INFO - retweet_num:13123745	quoted_num:863233	not_num:1746664	other_num:0	retweet_have_soure_num:73685	quoted_have_num:18306
2024-08-31 02:36:25,645 - INFO - retweet_num:16142362	quoted_num:1065541	not_num:2138377	other_num:0	retweet_have_soure_num:68789	quoted_have_num:23030
2024-08-31 02:42:33,006 - INFO - retweet_num:22309585	quoted_num:1477926	not_num:2801880	other_num:0	retweet_have_soure_num:227770	quoted_have_num:83600
2024-08-31 02:50:00,733 - INFO - retweet_num:26482310	quoted_num:1849473	not_num:4152867	other_num:0	retweet_have_soure_num:431847	quoted_have_num:87673
2024-08-31 02:59:36,107 - INFO - retweet_num:33595517	quoted_num:2747801	not_num:5597450	other_num:0	retweet_have_soure_num:571278	quoted_have_num:112169
2024-08-31 03:08:52,934 - INFO - retweet_num:30520685	quoted_num:3502600	not_num:6657736	other_num:0	retweet_have_soure_num:543159	quoted_have_num:132977
2024-08-31 03:16:26,769 - INFO - retweet_num:24760679	quoted_num:2609423	not_num:5850780	other_num:0	retweet_have_soure_num:443539	quoted_have_num:91580
2024-08-31 03:26:19,105 - INFO - retweet_num:33205716	quoted_num:2995914	not_num:7017222	other_num:0	retweet_have_soure_num:853826	quoted_have_num:141316
2024-08-31 03:33:43,007 - INFO - retweet_num:24255575	quoted_num:2368100	not_num:5678600	other_num:0	retweet_have_soure_num:644894	quoted_have_num:112108
2024-09-12 17:54:07,838 - INFO - retweet_num:8412648	quoted_num:493835	not_num:1209171	other_num:0	retweet_have_soure_num:114239	quoted_have_num:24256
2024-09-12 18:59:59,625 - INFO - retweet_num:8412648	quoted_num:493835	not_num:1209171	other_num:0	retweet_have_soure_num:114239	quoted_have_num:24256
2024-09-12 19:02:26,673 - INFO - retweet_num:8809471	quoted_num:521754	not_num:1267729	other_num:0	retweet_have_soure_num:101923	quoted_have_num:16114
2024-09-12 19:04:49,951 - INFO - retweet_num:8469846	quoted_num:560785	not_num:1293350	other_num:0	retweet_have_soure_num:89956	quoted_have_num:17710
2024-09-12 19:07:47,430 - INFO - retweet_num:10529206	quoted_num:728328	not_num:1617447	other_num:0	retweet_have_soure_num:70387	quoted_have_num:18737
2024-09-12 19:12:40,341 - INFO - retweet_num:17158236	quoted_num:1211623	not_num:3012747	other_num:0	retweet_have_soure_num:89155	quoted_have_num:34945
2024-09-12 19:15:09,341 - INFO - retweet_num:8935847	quoted_num:580077	not_num:1360336	other_num:0	retweet_have_soure_num:52716	quoted_have_num:14699
2024-09-12 19:18:47,007 - INFO - retweet_num:13123745	quoted_num:863233	not_num:1746664	other_num:0	retweet_have_soure_num:73685	quoted_have_num:18306
2024-09-12 19:23:10,012 - INFO - retweet_num:16142362	quoted_num:1065541	not_num:2138377	other_num:0	retweet_have_soure_num:68789	quoted_have_num:23030
2024-09-12 19:29:17,201 - INFO - retweet_num:22309585	quoted_num:1477926	not_num:2801880	other_num:0	retweet_have_soure_num:227770	quoted_have_num:83600
2024-09-12 19:36:41,959 - INFO - retweet_num:26482310	quoted_num:1849473	not_num:4152867	other_num:0	retweet_have_soure_num:431847	quoted_have_num:87673
2024-09-12 19:46:14,181 - INFO - retweet_num:33595517	quoted_num:2747801	not_num:5597450	other_num:0	retweet_have_soure_num:571278	quoted_have_num:112169
2024-09-12 19:55:28,814 - INFO - retweet_num:30520685	quoted_num:3502600	not_num:6657736	other_num:0	retweet_have_soure_num:543159	quoted_have_num:132977
2024-09-12 20:03:00,169 - INFO - retweet_num:24760679	quoted_num:2609423	not_num:5850780	other_num:0	retweet_have_soure_num:443539	quoted_have_num:91580
2024-09-12 20:12:51,100 - INFO - retweet_num:33205716	quoted_num:2995914	not_num:7017222	other_num:0	retweet_have_soure_num:853826	quoted_have_num:141316
2024-09-12 20:20:16,120 - INFO - retweet_num:24255575	quoted_num:2368100	not_num:5678600	other_num:0	retweet_have_soure_num:644894	quoted_have_num:112108
