retweet_origin_user_id,bias,retweet_origin_username,screen_name
25073877,Right,Donald J. Trump,realDonaldTrump
939091,Left,Joe Biden,JoeBiden
216776631,Left,Bernie Sanders,BernieSanders
30354991,Left,Kamala Harris,KamalaHarris
1205226529455632385,Left,The Lincoln Project,ProjectLincoln
1073047860260814848,Left,NoelCaslerComedy🌙,caslernoel
1640929196,Left,BrooklynDad_Defiant!☮️,mmpadellan
729676086632656900,Right,Team Trump (Text TRUMP to 88022),TeamTrump
2228878592,Center,Andrew Yang🧢⬆️🇺🇸,AndrewYang
226222147,Left,Pete Buttigieg,PeteButtigieg
236487888,Right,Joe Walsh,WalshFreedom
357606935,Left,Elizabeth Warren,ewarren
14247236,Left,Scott Dworkin,funder
255812611,Left,Don Winslow,donwinslow
292929271,Right,Charlie Kirk,charliekirk11
32871086,Left,Kyle Griffin,kylegriffin1
803694179079458816,Center,Vice President Kamala Harris,VP
822215673812119553,Right,The White House 45 Archived,WhiteHouse45
592730371,Right,Jack Poso 🇺🇸,JackPosobiec
47293791,Right,Terrence K. Williams,w_terrence
1009577803304656896,Left,Jeff Tiedrich,itsJeffTiedrich
1243560408025198593,Left,MeidasTouch,MeidasTouch
1212806053907185664,Right,LeoTerrell,TheLeoTerrell
1043185714437992449,Right,Catturd ™,catturd2
2353605901,Right,Ronna McDaniel,RonnaMcDaniel
931286316,Right,#ThePersistence,ScottPresler
1108472017144201216,Right,Trump War Room,TrumpWarRoom
33537967,Left,Amy Klobuchar,amyklobuchar
39344374,Right,Donald Trump Jr.,DonaldJTrumpJr
1058520120,Left,Tammy Duckworth,SenDuckworth
65497475,Left,"Eugene Gu, MD",eugenegu
148529707,Left,Robert Reich,RBReich
27493883,Left,Jon Cooper,joncoopertweets
166751745,Right,Ryan Fournier,RyanAFournier
259001548,Right,Kayleigh McEnany,kayleighmcenany
770781940341288960,Right,Rudy W. Giuliani,RudyGiuliani
187680645,Right,Lin Wood,LLinWood
11134252,Right,GOP,GOP
18266688,Right,Tom Fitton,TomFitton
15976705,Left,Amy Siskind 🏳️‍🌈,Amy_Siskind
91882544,Right,Dinesh D'Souza,DineshDSouza
471677441,Right,George Conway,gtconway3d
288277167,Left,Aaron Rupar,atrupar
101816065,Left,Joe Lockhart,joelockhart
1349149096909668363,Right,President Biden,POTUS
22203756,Right,Mike Pence,Mike_Pence
722528529716383744,Right,Brigitte Gabriel,ACTBrigitte
818948638890217473,Right,Rep. Matt Gaetz,RepMattGaetz
738080573365702657,Left,Rob Reiner,robreiner
818927131883356161,Right,Kayleigh McEnany 45 Archived,PressSec45
21522338,Left,Marianne Williamson,marwilliamson
778763106289758208,Right,Jenna Ellis,JennaEllisEsq
4765364386,Right,Chuck Callesto,ChuckCallesto
1866938882,Left,Andrea Junker,Strandjunker
878247600096509952,Right,Candace Owens,RealCandaceO
455684839,Left,Brian Tyler Cohen,briantylercohen
601535938,Right,Matt Couch,RealMattCouch
81741855,Left,Steven Beschloss,StevenBeschloss
798973032362606600,Left,Former Congresswoman Val Demings,RepValDemings
22677397,Right,Juanita Broaddrick,atensnut
18166778,Right,Rep. Jim Jordan,Jim_Jordan
739610364975808513,Right,Paul Sperry,paulsperry_
341190477,Left,Ricky Davila,TheRickyDavila
27995424,Right,John Cardillo,johncardillo
26637348,Center,Tulsi Gabbard 🌺,TulsiGabbard
225265639,Center,Daniel Dale,ddale8
970207298,Left,Elizabeth Warren,SenWarren
164679813,Left,Ken Olin,kenolin1
16972715,Center,MURRAY,murray_nyc
216065430,Left,Stacey Abrams,staceyabrams
1201670995435646976,Right,Lauren Boebert,laurenboebert
967027984426242053,Left,Fred Guttenberg,fred_guttenberg
